name,v_nom,carrier,x,y,control,generator
Heat Bus 1,,heat,-4.533299377,57.4698758,PQ,
Heat Bus 2,,heat,-1.804331289,57.48448144,PQ,
Heat Bus 3,,heat,-4.05490739,56.72457146,PQ,
Heat Bus 4,,heat,-3.725281994,56.10923715,PQ,
Heat Bus 5,,heat,-4.414788151,55.8088314,PQ,
Heat Bus 6,,heat,-3.880268135,55.75398831,PQ,
Heat Bus 7,,heat,-2.50744844,55.92240072,PQ,
Heat Bus 8,,heat,-2.229827439,55.67725497,PQ,
Heat Bus 9,,heat,-2.847819676,54.93117564,PQ,
Heat Bus 10,,heat,-1.667839578,54.98716161,PQ,
Heat Bus 11,,heat,-2.679880458,53.77690972,PQ,
Heat Bus 12,,heat,-3.072207852,53.22303027,PQ,
Heat Bus 13,,heat,-2.181395425,53.36145567,PQ,
Heat Bus 14,,heat,-1.392935875,53.46704192,PQ,
Heat Bus 15,,heat,-0.9897525,53.83342756,PQ,
Heat Bus 16,,heat,-0.683866095,53.49343566,PQ,
Heat Bus 17,,heat,-1.065185055,52.87644424,PQ,
Heat Bus 18,,heat,-1.958840539,52.29694424,PQ,
Heat Bus 19,,heat,0.244973292,52.73047621,PQ,
Heat Bus 20,,heat,1.159650842,52.08873754,PQ,
Heat Bus 21,,heat,0.164053518,51.98279068,PQ,
Heat Bus 22,,heat,-0.634044034,51.95729432,PQ,
Heat Bus 23,,heat,-2.224943705,51.41919595,PQ,
Heat Bus 24,,heat,-0.978219453,51.29187667,PQ,
Heat Bus 25,,heat,-0.131942956,51.53297258,PQ,
Heat Bus 26,,heat,0.768177361,51.37601159,PQ,
Heat Bus 27,,heat,1.117561796,51.1049268,PQ,
Heat Bus 28,,heat,-0.995022392,50.91205028,PQ,
Heat Bus 29,,heat,-2.265293518,50.99634637,PQ,
Beauly,275.0,AC,-4.533299377,57.4698758,PQ,
Peterhead,275.0,AC,-1.804331289,57.48448144,PQ,
Errochty,275.0,AC,-4.05490739,56.72457146,PQ,
Denny/Bonnybridge,275.0,AC,-3.725281994,56.10923715,PQ,
Neilston,400.0,AC,-4.414788151,55.8088314,PQ,
Strathaven,400.0,AC,-3.880268135,55.75398831,PQ,
Torness,400.0,AC,-2.50744844,55.92240072,PQ,
Eccles,400.0,AC,-2.229827439,55.67725497,PQ,
Harker,400.0,AC,-2.847819676,54.93117564,PQ,
Stella West,400.0,AC,-1.667839578,54.98716161,PQ,
Penwortham,400.0,AC,-2.679880458,53.77690972,PQ,
Deeside,400.0,AC,-3.072207852,53.22303027,PQ,
Daines,400.0,AC,-2.181395425,53.36145567,PQ,
Th. Marsh/Stocksbridge,400.0,AC,-1.392935875,53.46704192,PQ,
Thornton/Drax/Eggborough,400.0,AC,-0.9897525,53.83342756,PQ,
Keadby,400.0,AC,-0.683866095,53.49343566,Slack,West Burton
Ratcliffe,400.0,AC,-1.065185055,52.87644424,PQ,
Feckenham,400.0,AC,-1.958840539,52.29694424,PQ,
Walpole,400.0,AC,0.244973292,52.73047621,PQ,
Bramford,400.0,AC,1.159650842,52.08873754,PQ,
Pelham,400.0,AC,0.164053518,51.98279068,PQ,
Sundon/East Claydon,400.0,AC,-0.634044034,51.95729432,PQ,
Melksham,400.0,AC,-2.224943705,51.41919595,PQ,
Bramley,400.0,AC,-0.978219453,51.29187667,PQ,
London,400.0,AC,-0.131942956,51.53297258,PQ,
Kemsley,400.0,AC,0.768177361,51.37601159,PQ,
Sellindge,400.0,AC,1.117561796,51.1049268,PQ,
Lovedean,400.0,AC,-0.995022392,50.91205028,PQ,
S.W.Penisula,400.0,AC,-2.265293518,50.99634637,PQ,
