Time,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8
00:30:00,0.013238,0.013761,0.013316,0.013234,0.013438,0.014294,0.01497,0.015989
01:00:00,0.013575,0.014002,0.013554,0.013399,0.01373,0.015008,0.015975,0.017195
01:30:00,0.014049,0.014396,0.013999,0.013794,0.01434,0.016217,0.017813,0.019887
02:00:00,0.014299,0.014657,0.014339,0.014121,0.014784,0.016943,0.018909,0.021343
02:30:00,0.014679,0.015102,0.014969,0.014852,0.01581,0.0186,0.02141,0.024631
03:00:00,0.015216,0.015587,0.015611,0.015571,0.01671,0.019808,0.023004,0.026169
03:30:00,0.01601,0.016302,0.016485,0.016535,0.017918,0.021468,0.025262,0.028584
04:00:00,0.016691,0.016885,0.01712,0.017153,0.018488,0.021793,0.025343,0.027767
04:30:00,0.017491,0.017719,0.017998,0.018075,0.019456,0.022825,0.026492,0.028505
05:00:00,0.018382,0.01869,0.019059,0.019157,0.020533,0.023857,0.027395,0.028961
05:30:00,0.019382,0.02009,0.020712,0.020891,0.02246,0.025964,0.029364,0.030522
06:00:00,0.020579,0.021722,0.022734,0.022958,0.024688,0.027852,0.030255,0.030219
06:30:00,0.022247,0.023721,0.025149,0.025493,0.027491,0.030157,0.031145,0.029603
07:00:00,0.024169,0.025551,0.02728,0.02764,0.029709,0.03152,0.030991,0.028333
07:30:00,0.025731,0.026827,0.028648,0.028906,0.030817,0.031761,0.030094,0.026976
08:00:00,0.026545,0.027268,0.028926,0.028895,0.030321,0.030412,0.028142,0.025186
08:30:00,0.026611,0.027019,0.028319,0.028025,0.02884,0.028352,0.026077,0.023612
09:00:00,0.02615,0.026329,0.027135,0.026652,0.02684,0.025937,0.023956,0.022075
09:30:00,0.025387,0.025315,0.025602,0.025039,0.024716,0.023544,0.021965,0.020549
10:00:00,0.024482,0.024195,0.023999,0.023398,0.02273,0.021364,0.020104,0.018964
10:30:00,0.023652,0.023084,0.022521,0.021952,0.021078,0.019607,0.018647,0.017697
11:00:00,0.02282,0.022128,0.021314,0.020842,0.019796,0.018239,0.017481,0.016793
11:30:00,0.022089,0.02142,0.020499,0.020205,0.019042,0.017583,0.017088,0.016902
12:00:00,0.021384,0.020892,0.019981,0.019841,0.018576,0.0173,0.017048,0.017384
12:30:00,0.020791,0.02056,0.019731,0.019723,0.018455,0.017455,0.017526,0.018273
13:00:00,0.020293,0.020235,0.019418,0.019493,0.018192,0.017227,0.017378,0.018239
13:30:00,0.020014,0.020054,0.019186,0.019387,0.018105,0.017193,0.017501,0.018529
14:00:00,0.01991,0.019884,0.018973,0.019257,0.017908,0.016806,0.017029,0.018042
14:30:00,0.020156,0.020008,0.019164,0.019525,0.018211,0.017083,0.017469,0.018741
15:00:00,0.020618,0.020317,0.019587,0.019948,0.018596,0.017222,0.017544,0.018916
15:30:00,0.021414,0.020995,0.020424,0.020827,0.019581,0.018202,0.018737,0.020356
16:00:00,0.022204,0.021754,0.021345,0.021753,0.02053,0.01889,0.019355,0.020535
16:30:00,0.023049,0.022673,0.022479,0.02292,0.021887,0.020213,0.020757,0.021473
17:00:00,0.02377,0.023492,0.023475,0.023872,0.022969,0.021101,0.021397,0.021399
17:30:00,0.024404,0.024207,0.024294,0.024619,0.023935,0.022117,0.022078,0.021681
18:00:00,0.024835,0.024546,0.024673,0.024866,0.024309,0.022453,0.021735,0.020767
18:30:00,0.024997,0.024585,0.024727,0.024812,0.024414,0.022662,0.021264,0.019894
19:00:00,0.024991,0.024388,0.024541,0.024554,0.024259,0.022566,0.02057,0.018888
19:30:00,0.024906,0.024159,0.024274,0.024258,0.024039,0.022407,0.020066,0.018321
20:00:00,0.024803,0.023928,0.023983,0.023933,0.023724,0.022103,0.019465,0.017666
20:30:00,0.024468,0.023579,0.023599,0.023513,0.023308,0.021741,0.018923,0.017099
21:00:00,0.02381,0.023004,0.023022,0.022907,0.022707,0.021306,0.018343,0.016469
21:30:00,0.022609,0.021954,0.021948,0.021818,0.02164,0.020545,0.017793,0.016056
22:00:00,0.020825,0.020342,0.020291,0.020155,0.019991,0.019264,0.016982,0.015524
22:30:00,0.018452,0.018203,0.018079,0.01794,0.0178,0.017449,0.015991,0.015119
23:00:00,0.016113,0.016094,0.015884,0.015776,0.015644,0.015547,0.014853,0.014639
23:30:00,0.014314,0.014557,0.014229,0.014158,0.0141,0.014263,0.014227,0.014701
00:00:00,0.013398,0.013821,0.013406,0.013359,0.013384,0.013783,0.014085,0.014826
